Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Oct ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[33.0, 28.5, 25.0]","[24.0, 23.0, 21.0]","[95.0, 76.0, 50.0]","[11.0, 3.9, 0.0]", 0.00 
 2 ,"[35.0, 29.0, 24.0]","[23.0, 22.0, 19.0]","[93.0, 67.4, 40.0]","[9.0, 4.0, 0.0]", 0.00 
 3 ,"[34.0, 29.0, 24.0]","[22.0, 21.0, 19.0]","[86.0, 63.3, 42.0]","[22.0, 8.1, 0.0]", 0.00 
 4 ,"[34.0, 28.5, 23.0]","[24.0, 22.9, 21.0]","[91.0, 72.9, 52.0]","[11.0, 3.3, 0.0]", 0.00 
 5 ,"[33.0, 28.5, 25.0]","[24.0, 22.9, 22.0]","[93.0, 73.5, 57.0]","[9.0, 3.9, 0.0]", 0.00 
 6 ,"[30.0, 26.3, 24.0]","[23.0, 22.4, 22.0]","[88.0, 79.3, 67.0]","[13.0, 7.5, 0.0]", 0.00 
 7 ,"[26.0, 24.5, 23.0]","[24.0, 23.0, 22.0]","[98.0, 91.1, 81.0]","[9.0, 8.0, 7.0]", 0.30 
 8 ,"[23.0, 22.1, 21.0]","[23.0, 22.1, 21.0]","[100.0, 100.0, 100.0]","[15.0, 9.4, 6.0]", 25.00 
 9 ,"[24.0, 22.1, 21.0]","[24.0, 22.1, 21.0]","[100.0, 99.5, 98.0]","[13.0, 9.6, 6.0]", 74.00 
 10 ,"[23.0, 21.9, 20.0]","[23.0, 21.8, 20.0]","[100.0, 98.4, 96.0]","[11.0, 4.9, 0.0]", 22.00 
 11 ,"[28.0, 24.6, 21.0]","[24.0, 23.0, 21.0]","[100.0, 90.8, 77.0]","[0.0, 0.0, 0.0]", 7.00 
 12 ,"[29.0, 24.8, 22.0]","[23.0, 21.9, 21.0]","[100.0, 85.4, 65.0]","[7.0, 3.8, 0.0]", 0.40 
 13 ,"[30.0, 24.8, 20.0]","[21.0, 20.0, 19.0]","[96.0, 76.1, 54.0]","[7.0, 3.4, 0.0]", 0.00 
 14 ,"[31.0, 25.5, 21.0]","[21.0, 19.9, 19.0]","[96.0, 72.8, 48.0]","[11.0, 4.3, 0.0]", 0.00 
 15 ,"[31.0, 25.0, 21.0]","[21.0, 17.5, 0.0]","[91.0, 64.3, 0.0]","[7.0, 1.4, 0.0]", 0.00 
 16 ,"[31.0, 24.5, 21.0]","[21.0, 19.5, 18.0]","[95.0, 77.6, 46.0]","[7.0, 1.6, 0.0]", 0.00 
 17 ,"[32.0, 25.3, 19.0]","[22.0, 19.3, 17.0]","[96.0, 73.8, 42.0]","[11.0, 2.6, 0.0]", 0.00 
 18 ,"[32.0, 25.4, 20.0]","[21.0, 18.6, 16.0]","[98.0, 71.3, 39.0]","[7.0, 2.4, 0.0]", 0.00 
 19 ,"[33.0, 25.5, 18.0]","[20.0, 18.0, 16.0]","[92.0, 68.3, 36.0]","[6.0, 0.8, 0.0]", 0.00 
 20 ,"[33.0, 24.3, 18.0]","[21.0, 18.4, 15.0]","[95.0, 73.1, 38.0]","[4.0, 0.5, 0.0]", 0.00 
 21 ,"[32.0, 25.5, 19.0]","[21.0, 18.3, 13.0]","[94.0, 68.0, 31.0]","[7.0, 1.8, 0.0]", 0.00 
 22 ,"[31.0, 24.6, 20.0]","[19.0, 17.3, 15.0]","[91.0, 67.5, 40.0]","[11.0, 4.0, 0.0]", 0.00 
 23 ,"[30.0, 23.3, 17.0]","[19.0, 16.6, 14.0]","[90.0, 69.8, 42.0]","[6.0, 0.8, 0.0]", 0.00 
 24 ,"[31.0, 22.5, 17.0]","[18.0, 16.4, 14.0]","[91.0, 70.0, 36.0]","[7.0, 2.5, 0.0]", 0.00 
 25 ,"[30.0, 22.9, 16.0]","[18.0, 15.4, 12.0]","[91.0, 65.9, 36.0]","[15.0, 5.9, 0.0]", 0.00 
 26 ,"[31.0, 22.9, 17.0]","[19.0, 17.1, 14.0]","[94.0, 74.1, 36.0]","[7.0, 2.3, 0.0]", 0.00 
 27 ,"[31.0, 23.1, 17.0]","[19.0, 16.5, 14.0]","[96.0, 71.6, 38.0]","[7.0, 1.8, 0.0]", 0.00 
 28 ,"[30.0, 22.4, 17.0]","[21.0, 18.1, 16.0]","[98.0, 78.4, 48.0]","[6.0, 0.8, 0.0]", 0.00 
 29 ,"[31.0, 22.9, 17.0]","[19.0, 17.9, 16.0]","[98.0, 76.5, 41.0]","[11.0, 2.3, 0.0]", 0.00 
 30 ,"[30.0, 22.4, 17.0]","[21.0, 16.8, 12.0]","[96.0, 73.8, 43.0]","[7.0, 2.5, 0.0]", 0.00 
 31 ,"[30.0, 22.9, 17.0]","[21.0, 17.9, 16.0]","[96.0, 75.4, 43.0]","[7.0, 1.9, 0.0]", 0.00 
