Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Nov ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[32.0, 23.0, 17.0]","[20.0, 18.1, 17.0]","[96.0, 78.0, 39.0]","[7.0, 1.4, 0.0]", 0.00 
 2 ,"[30.0, 23.3, 18.0]","[21.0, 18.0, 16.0]","[96.0, 75.6, 46.0]","[9.0, 2.5, 0.0]", 0.00 
 3 ,"[31.0, 22.5, 17.0]","[21.0, 18.0, 17.0]","[98.0, 78.6, 46.0]","[9.0, 2.0, 0.0]", 0.00 
 4 ,"[30.0, 23.0, 18.0]","[22.0, 18.6, 17.0]","[96.0, 79.8, 52.0]","[4.0, 1.0, 0.0]", 0.00 
 5 ,"[30.0, 23.5, 18.0]","[23.0, 20.3, 18.0]","[98.0, 83.1, 58.0]","[7.0, 3.8, 0.0]", 0.00 
 6 ,"[31.0, 24.4, 19.0]","[22.0, 20.0, 18.0]","[94.0, 77.4, 53.0]","[11.0, 2.8, 0.0]", 0.00 
 7 ,"[32.0, 24.4, 19.0]","[19.0, 18.5, 16.0]","[96.0, 73.5, 38.0]","[7.0, 1.6, 0.0]", 0.00 
 8 ,"[27.0, 23.0, 19.0]","[21.0, 18.1, 16.0]","[94.0, 75.3, 49.0]","[7.0, 1.6, 0.0]", 0.00 
 9 ,"[29.0, 22.4, 18.0]","[18.0, 17.3, 16.0]","[94.0, 74.4, 45.0]","[7.0, 1.6, 0.0]", 0.00 
 10 ,"[28.0, 22.9, 18.0]","[18.0, 17.8, 17.0]","[90.0, 73.3, 49.0]","[9.0, 2.0, 0.0]", 0.00 
 11 ,"[28.0, 21.1, 17.0]","[17.0, 14.3, 12.0]","[94.0, 68.4, 39.0]","[19.0, 4.5, 0.0]", 0.00 
 12 ,"[27.0, 19.8, 14.0]","[14.0, 12.4, 11.0]","[93.0, 67.1, 38.0]","[15.0, 4.4, 0.0]", 0.00 
 13 ,"[27.0, 19.3, 14.0]","[14.0, 13.1, 11.0]","[91.0, 72.6, 37.0]","[11.0, 3.9, 0.0]", 0.00 
 14 ,"[30.0, 22.4, 16.0]","[18.0, 15.5, 12.0]","[91.0, 69.3, 34.0]","[9.0, 2.5, 0.0]", 0.00 
 15 ,"[29.0, 21.0, 16.0]","[16.0, 15.3, 13.0]","[91.0, 73.1, 39.0]","[6.0, 1.3, 0.0]", 0.00 
 16 ,"[27.0, 19.3, 14.0]","[14.0, 10.9, 7.0]","[93.0, 64.1, 30.0]","[96.0, 14.0, 0.0]", 0.00 
 17 ,"[25.0, 17.5, 13.0]","[12.0, 11.5, 10.0]","[91.0, 69.6, 41.0]","[15.0, 4.1, 0.0]", 0.00 
 18 ,"[25.0, 17.5, 11.0]","[13.0, 11.0, 9.0]","[92.0, 68.0, 36.0]","[6.0, 2.8, 0.0]", 0.00 
 19 ,"[26.0, 17.4, 12.0]","[13.0, 11.0, 9.0]","[91.0, 71.1, 36.0]","[6.0, 2.0, 0.0]", 0.00 
 20 ,"[26.0, 17.3, 11.0]","[13.0, 10.9, 9.0]","[91.0, 69.8, 36.0]","[7.0, 2.4, 0.0]", 0.00 
 21 ,"[26.0, 16.9, 11.0]","[14.0, 11.1, 9.0]","[92.0, 71.9, 36.0]","[15.0, 3.0, 0.0]", 0.00 
 22 ,"[26.0, 18.3, 13.0]","[12.0, 10.4, 8.0]","[84.0, 63.0, 33.0]","[11.0, 5.8, 0.0]", 0.00 
 23 ,"[26.0, 16.9, 11.0]","[10.0, 8.9, 7.0]","[90.0, 64.9, 29.0]","[13.0, 5.9, 0.0]", 0.00 
 24 ,"[26.0, 16.9, 10.0]","[12.0, 9.6, 7.0]","[91.0, 68.1, 33.0]","[7.0, 1.8, 0.0]", 0.00 
 25 ,"[27.0, 16.1, 10.0]","[13.0, 9.9, 8.0]","[95.0, 72.6, 30.0]","[7.0, 1.6, 0.0]", 0.00 
 26 ,"[26.0, 17.6, 10.0]","[14.0, 11.1, 9.0]","[95.0, 71.7, 36.0]","[11.0, 3.1, 0.0]", 0.00 
 27 ,"[27.0, 16.6, 10.0]","[13.0, 10.6, 9.0]","[97.0, 73.0, 33.0]","[7.0, 0.9, 0.0]", 0.00 
 28 ,"[26.0, 16.1, 9.0]","[12.0, 10.0, 8.0]","[95.0, 71.0, 38.0]","[7.0, 1.4, 0.0]", 0.00 
 29 ,"[25.0, 15.6, 9.0]","[16.0, 11.6, 8.0]","[97.0, 79.5, 41.0]","[6.0, 1.5, 0.0]", 0.00 
 30 ,"[26.0, 17.1, 11.0]","[16.0, 11.9, 9.0]","[97.0, 75.7, 41.0]","[11.0, 3.1, 0.0]", 0.00 
