Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Dec ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[25.0, 16.3, 10.0]","[15.0, 11.3, 8.0]","[97.0, 76.4, 42.0]","[13.0, 3.1, 0.0]", 0.00 
 2 ,"[26.0, 16.3, 10.0]","[16.0, 11.8, 9.0]","[97.0, 77.8, 44.0]","[7.0, 2.1, 0.0]", 0.00 
 3 ,"[26.0, 16.4, 10.0]","[17.0, 12.5, 9.0]","[97.0, 81.5, 45.0]","[4.0, 0.5, 0.0]", 0.00 
 4 ,"[25.0, 16.4, 11.0]","[16.0, 12.5, 10.0]","[97.0, 80.6, 48.0]","[9.0, 1.6, 0.0]", 0.00 
 5 ,"[25.0, 15.9, 10.0]","[14.0, 9.6, 0.0]","[95.0, 63.9, 0.0]","[9.0, 1.1, 0.0]", 0.00 
 6 ,"[23.0, 15.0, 9.0]","[13.0, 10.8, 9.0]","[97.0, 76.8, 50.0]","[15.0, 6.0, 0.0]", 0.00 
 7 ,"[24.0, 16.1, 11.0]","[12.0, 10.3, 8.0]","[92.0, 71.6, 41.0]","[15.0, 8.3, 4.0]", 0.00 
 8 ,"[24.0, 17.0, 11.0]","[12.0, 10.5, 8.0]","[92.0, 68.9, 39.0]","[11.0, 3.9, 0.0]", 0.00 
 9 ,"[26.0, 16.5, 10.0]","[14.0, 10.6, 8.0]","[95.0, 73.0, 33.0]","[13.0, 2.9, 0.0]", 0.00 
 10 ,"[26.0, 16.5, 10.0]","[13.0, 11.5, 9.0]","[97.0, 76.9, 39.0]","[7.0, 1.4, 0.0]", 0.00 
 11 ,"[27.0, 16.4, 10.0]","[14.0, 11.5, 10.0]","[97.0, 76.8, 41.0]","[7.0, 2.9, 0.0]", 0.00 
 12 ,"[26.0, 16.8, 10.0]","[14.0, 10.4, 9.0]","[95.0, 72.0, 35.0]","[9.0, 3.5, 0.0]", 0.00 
 13 ,"[26.0, 17.3, 9.0]","[11.0, 8.9, 7.0]","[95.0, 63.1, 31.0]","[15.0, 8.3, 6.0]", 0.00 
 14 ,"[23.0, 15.5, 10.0]","[10.0, 8.1, 4.0]","[92.0, 66.9, 29.0]","[15.0, 5.8, 0.0]", 0.00 
 15 ,"[23.0, 13.6, 8.0]","[10.0, 7.8, 6.0]","[89.0, 70.4, 36.0]","[11.0, 4.8, 0.0]", 0.00 
 16 ,"[23.0, 14.3, 8.0]","[11.0, 8.5, 7.0]","[92.0, 71.1, 37.0]","[11.0, 4.3, 0.0]", 0.00 
 17 ,"[23.0, 14.1, 8.0]","[10.0, 8.1, 7.0]","[92.0, 70.6, 36.0]","[9.0, 3.0, 0.0]", 0.00 
 18 ,"[23.0, 14.0, 8.0]","[14.0, 10.4, 7.0]","[97.0, 79.8, 56.0]","[11.0, 2.3, 0.0]", 0.00 
 19 ,"[22.0, 13.0, 8.0]","[12.0, 9.4, 8.0]","[97.0, 81.5, 49.0]","[6.0, 2.8, 0.0]", 0.00 
 20 ,"[23.0, 13.9, 9.0]","[12.0, 9.5, 7.0]","[100.0, 79.0, 35.0]","[11.0, 3.5, 0.0]", 0.00 
 21 ,"[20.0, 13.3, 8.0]","[11.0, 9.4, 8.0]","[97.0, 80.3, 54.0]","[4.0, 0.5, 0.0]", 0.00 
 22 ,"[19.0, 12.8, 9.0]","[11.0, 9.3, 9.0]","[100.0, 81.8, 53.0]","[7.0, 3.1, 0.0]", 0.00 
 23 ,"[19.0, 12.1, 8.0]","[11.0, 8.6, 8.0]","[100.0, 82.1, 50.0]","[6.0, 0.8, 0.0]", 0.00 
 24 ,"[19.0, 11.9, 8.0]","[9.0, 7.6, 6.0]","[100.0, 77.9, 44.0]","[9.0, 5.5, 0.0]", 0.00 
 25 ,"[16.0, 10.1, 7.0]","[9.0, 7.5, 6.0]","[100.0, 86.0, 59.0]","[15.0, 6.0, 0.0]", 111.10 
 26 ,"[15.0, 9.8, 7.0]","[11.0, 8.4, 7.0]","[100.0, 90.8, 72.0]","[7.0, 2.5, 0.0]", 0.00 
 27 ,"[17.0, 11.1, 7.0]","[9.0, 7.9, 7.0]","[100.0, 81.6, 57.0]","[15.0, 8.8, 0.0]", 0.00 
 28 ,"[21.0, 13.8, 8.0]","[10.0, 7.8, 6.0]","[92.0, 70.1, 37.0]","[19.0, 7.0, 0.0]", 0.00 
 29 ,"[23.0, 15.1, 9.0]","[13.0, 9.6, 6.0]","[97.0, 71.8, 36.0]","[7.0, 3.6, 0.0]", 0.00 
 30 ,"[22.0, 15.4, 11.0]","[13.0, 10.9, 9.0]","[95.0, 77.4, 51.0]","[9.0, 3.9, 0.0]", 0.00 
 31 ,"[19.0, 13.9, 9.0]","[12.0, 10.4, 8.0]","[97.0, 81.0, 61.0]","[19.0, 7.7, 0.0]", 0.00 
