Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Jan ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[20.0, 11.4, 6.0]","[11.0, 7.5, 4.0]","[97.0, 80.0, 52.0]","[7.0, 2.9, 0.0]", 0.00 
 2 ,"[20.0, 12.1, 7.0]","[11.0, 8.4, 6.0]","[97.0, 80.5, 46.0]","[7.0, 2.1, 0.0]", 0.00 
 3 ,"[21.0, 13.4, 7.0]","[12.0, 8.6, 6.0]","[97.0, 77.1, 43.0]","[9.0, 2.1, 0.0]", 0.00 
 4 ,"[23.0, 15.6, 9.0]","[12.0, 10.1, 8.0]","[95.0, 74.6, 42.0]","[7.0, 2.4, 0.0]", 0.00 
 5 ,"[15.0, 12.9, 12.0]","[14.0, 12.5, 11.0]","[96.0, 95.4, 93.0]","[9.0, 3.5, 0.0]", 0.10 
 6 ,"[20.0, 16.1, 13.0]","[14.0, 13.0, 12.0]","[97.0, 84.3, 64.0]","[11.0, 6.9, 0.0]", 9.00 
 7 ,"[19.0, 16.6, 13.0]","[16.0, 14.4, 13.0]","[98.0, 87.4, 76.0]","[15.0, 10.3, 7.0]", 0.00 
 8 ,"[16.0, 15.6, 14.0]","[16.0, 15.5, 14.0]","[100.0, 99.4, 97.0]","[15.0, 9.0, 7.0]", 41.00 
 9 ,"[14.0, 13.4, 12.0]","[14.0, 12.8, 11.0]","[100.0, 97.1, 93.0]","[15.0, 7.8, 0.0]", 8.00 
 10 ,"[17.0, 12.4, 9.0]","[11.0, 9.9, 8.0]","[97.0, 86.3, 66.0]","[9.0, 2.5, 0.0]", 5.00 
 11 ,"[17.0, 11.8, 8.0]","[11.0, 9.4, 8.0]","[100.0, 85.3, 61.0]","[15.0, 6.0, 0.0]", 0.00 
 12 ,"[17.0, 11.5, 8.0]","[9.0, 8.4, 8.0]","[100.0, 83.3, 59.0]","[11.0, 4.0, 0.0]", 0.00 
 13 ,"[16.0, 10.9, 7.0]","[12.0, 9.1, 7.0]","[100.0, 89.8, 69.0]","[0.0, 0.0, 0.0]", 0.00 
 14 ,"[15.0, 10.5, 7.0]","[11.0, 9.0, 6.0]","[97.0, 90.4, 77.0]","[6.0, 1.3, 0.0]", 0.00 
 15 ,"[14.0, 10.4, 8.0]","[10.0, 8.5, 7.0]","[100.0, 90.1, 71.0]","[7.0, 4.1, 0.0]", 0.00 
 16 ,"[15.0, 11.1, 8.0]","[9.0, 8.1, 7.0]","[95.0, 82.4, 63.0]","[7.0, 4.3, 0.0]", 0.00 
 17 ,"[15.0, 11.0, 9.0]","[10.0, 8.3, 7.0]","[95.0, 83.5, 62.0]","[7.0, 5.1, 0.0]", 0.00 
 18 ,"[15.0, 10.9, 9.0]","[9.0, 8.0, 7.0]","[97.0, 85.3, 63.0]","[15.0, 6.1, 0.0]", 0.00 
 19 ,"[18.0, 12.3, 8.0]","[11.0, 9.4, 8.0]","[97.0, 84.1, 60.0]","[11.0, 2.4, 0.0]", 0.00 
 20 ,"[18.0, 12.5, 9.0]","[12.0, 10.9, 9.0]","[100.0, 89.3, 66.0]","[7.0, 3.8, 0.0]", 0.00 
 21 ,"[19.0, 13.6, 9.0]","[12.0, 10.8, 8.0]","[100.0, 84.1, 60.0]","[9.0, 3.6, 0.0]", 0.00 
 22 ,"[14.0, 12.8, 12.0]","[12.0, 12.0, 12.0]","[100.0, 93.0, 84.0]","[15.0, 8.3, 4.0]", 5.00 
 23 ,"[14.0, 11.9, 9.0]","[12.0, 10.6, 9.0]","[100.0, 92.3, 79.0]","[9.0, 2.8, 0.0]", 20.00 
 24 ,"[14.0, 10.6, 7.0]","[10.0, 9.0, 7.0]","[100.0, 89.5, 74.0]","[4.0, 1.0, 0.0]", 0.00 
 25 ,"[14.0, 9.8, 6.0]","[9.0, 7.9, 6.0]","[97.0, 88.5, 69.0]","[11.0, 5.6, 0.0]", 0.00 
 26 ,"[16.0, 11.4, 8.0]","[10.0, 9.0, 8.0]","[97.0, 85.6, 64.0]","[11.0, 4.6, 0.0]", 0.00 
 27 ,"[18.0, 12.4, 7.0]","[10.0, 8.4, 6.0]","[97.0, 79.9, 53.0]","[15.0, 7.8, 4.0]", 0.00 
 28 ,"[19.0, 12.1, 8.0]","[8.0, 6.0, 3.0]","[97.0, 71.4, 35.0]","[19.0, 7.3, 0.0]", 0.00 
 29 ,"[22.0, 12.8, 6.0]","[9.0, 6.8, 4.0]","[97.0, 72.9, 33.0]","[17.0, 5.1, 0.0]", 0.00 
 30 ,"[21.0, 14.5, 8.0]","[11.0, 8.9, 7.0]","[95.0, 71.9, 42.0]","[19.0, 8.6, 0.0]", 0.00 
 31 ,"[21.0, 14.1, 7.0]","[13.0, 10.6, 6.0]","[95.0, 81.1, 57.0]","[13.0, 5.0, 0.0]", 0.00 
