Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Feb ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[21.0, 15.0, 8.0]","[13.0, 11.3, 8.0]","[97.0, 80.6, 53.0]","[11.0, 6.6, 0.0]", 0.00 
 2 ,"[20.0, 13.5, 6.0]","[13.0, 11.4, 9.0]","[95.0, 73.0, 0.0]","[15.0, 9.1, 0.0]", 0.00 
 3 ,"[14.0, 12.6, 11.0]","[12.0, 10.4, 9.0]","[96.0, 87.8, 74.0]","[15.0, 12.8, 7.0]", 0.60 
 4 ,"[16.0, 12.5, 10.0]","[11.0, 9.9, 9.0]","[97.0, 84.3, 62.0]","[11.0, 4.9, 0.0]", 1.00 
 5 ,"[18.0, 12.0, 8.0]","[9.0, 8.1, 6.0]","[100.0, 79.8, 46.0]","[7.0, 1.8, 0.0]", 0.00 
 6 ,"[23.0, 13.4, 6.0]","[11.0, 7.6, 3.0]","[97.0, 74.3, 29.0]","[11.0, 2.1, 0.0]", 0.00 
 7 ,"[26.0, 17.9, 9.0]","[15.0, 11.9, 9.0]","[97.0, 71.8, 36.0]","[7.0, 3.4, 0.0]", 0.00 
 8 ,"[26.0, 18.3, 13.0]","[15.0, 13.3, 11.0]","[96.0, 76.4, 45.0]","[7.0, 2.1, 0.0]", 0.00 
 9 ,"[21.0, 15.6, 12.0]","[13.0, 12.3, 11.0]","[100.0, 82.3, 53.0]","[11.0, 5.4, 0.0]", 17.00 
 10 ,"[22.0, 14.5, 10.0]","[12.0, 9.5, 8.0]","[97.0, 75.5, 41.0]","[19.0, 6.8, 0.0]", 0.00 
 11 ,"[22.0, 15.1, 9.0]","[10.0, 8.0, 4.0]","[95.0, 67.8, 32.0]","[19.0, 7.8, 0.0]", 0.00 
 12 ,"[23.0, 15.5, 11.0]","[10.0, 7.4, 3.0]","[95.0, 65.0, 28.0]","[15.0, 5.8, 0.0]", 0.00 
 13 ,"[26.0, 16.8, 8.0]","[11.0, 8.8, 7.0]","[97.0, 65.5, 32.0]","[7.0, 3.3, 0.0]", 0.00 
 14 ,"[27.0, 17.3, 9.0]","[14.0, 10.0, 6.0]","[92.0, 68.8, 27.0]","[11.0, 2.5, 0.0]", 0.00 
 15 ,"[26.0, 18.1, 10.0]","[14.0, 10.0, 6.0]","[92.0, 66.1, 28.0]","[7.0, 1.9, 0.0]", 0.00 
 16 ,"[26.0, 17.1, 11.0]","[13.0, 10.8, 9.0]","[95.0, 71.8, 35.0]","[9.0, 2.5, 0.0]", 0.00 
 17 ,"[26.0, 17.3, 11.0]","[12.0, 9.4, 5.0]","[93.0, 66.8, 28.0]","[7.0, 3.8, 0.0]", 0.00 
 18 ,"[28.0, 18.6, 10.0]","[13.0, 9.4, 3.0]","[97.0, 63.5, 20.0]","[7.0, 2.9, 0.0]", 0.00 
 19 ,"[25.0, 18.1, 12.0]","[12.0, 9.4, 5.0]","[91.0, 61.9, 28.0]","[11.0, 5.1, 0.0]", 0.00 
 20 ,"[23.0, 17.0, 13.0]","[12.0, 11.1, 8.0]","[93.0, 70.0, 38.0]","[19.0, 10.8, 6.0]", 0.00 
 21 ,"[26.0, 17.1, 12.0]","[11.0, 7.3, 3.0]","[91.0, 60.8, 23.0]","[15.0, 5.1, 0.0]", 0.00 
 22 ,"[26.0, 19.3, 11.0]","[12.0, 10.8, 9.0]","[92.0, 61.6, 36.0]","[19.0, 12.6, 6.0]", 0.00 
 23 ,"[23.0, 18.8, 16.0]","[17.0, 15.0, 13.0]","[91.0, 78.9, 62.0]","[15.0, 6.4, 0.0]", 0.00 
 24 ,"[26.0, 18.6, 14.0]","[14.0, 12.5, 9.0]","[93.0, 72.0, 37.0]","[17.0, 4.5, 0.0]", 0.00 
 25 ,"[27.0, 19.3, 13.0]","[14.0, 13.1, 12.0]","[96.0, 72.6, 44.0]","[13.0, 5.3, 0.0]", 0.00 
 26 ,"[23.0, 18.1, 15.0]","[14.0, 12.3, 11.0]","[94.0, 70.5, 51.0]","[26.0, 12.0, 0.0]", 10.00 
 27 ,"[24.0, 18.1, 13.0]","[13.0, 11.5, 10.0]","[93.0, 68.0, 40.0]","[13.0, 4.1, 0.0]", 1.00 
 28 ,"[24.0, 18.0, 13.0]","[12.0, 8.9, 6.0]","[93.0, 59.7, 29.0]","[9.0, 5.3, 0.0]", 0.00 
