Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Mar ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[25.0, 17.8, 11.0]","[14.0, 11.0, 9.0]","[95.0, 69.8, 37.0]","[7.0, 3.5, 0.0]", 0.00 
 2 ,"[26.0, 18.4, 12.0]","[14.0, 12.1, 9.0]","[96.0, 72.8, 35.0]","[9.0, 4.0, 0.0]", 0.00 
 3 ,"[28.0, 21.9, 16.0]","[16.0, 13.9, 9.0]","[87.0, 63.8, 31.0]","[7.0, 2.9, 0.0]", 0.00 
 4 ,"[25.0, 19.9, 16.0]","[14.0, 13.6, 13.0]","[90.0, 69.9, 46.0]","[15.0, 8.0, 4.0]", 0.00 
 5 ,"[26.0, 19.3, 14.0]","[15.0, 12.8, 10.0]","[89.0, 69.8, 38.0]","[15.0, 8.1, 0.0]", 0.00 
 6 ,"[27.0, 20.1, 14.0]","[16.0, 14.3, 12.0]","[88.0, 70.6, 40.0]","[11.0, 3.3, 0.0]", 0.00 
 7 ,"[28.0, 21.5, 16.0]","[16.0, 14.4, 12.0]","[94.0, 68.0, 35.0]","[9.0, 3.0, 0.0]", 0.00 
 8 ,"[30.0, 21.5, 16.0]","[16.0, 13.9, 12.0]","[91.0, 67.0, 33.0]","[11.0, 4.6, 0.0]", 0.00 
 9 ,"[31.0, 22.6, 15.0]","[14.0, 11.6, 6.0]","[91.0, 56.8, 24.0]","[11.0, 5.5, 0.0]", 0.00 
 10 ,"[29.0, 22.1, 18.0]","[16.0, 14.1, 11.0]","[86.0, 64.1, 32.0]","[22.0, 6.9, 0.0]", 0.00 
 11 ,"[23.0, 19.4, 16.0]","[16.0, 14.4, 13.0]","[91.0, 73.6, 60.0]","[7.0, 4.2, 0.0]", 0.00 
 12 ,"[30.0, 22.8, 17.0]","[16.0, 14.4, 13.0]","[86.0, 62.5, 34.0]","[17.0, 8.8, 0.0]", 0.00 
 13 ,"[31.0, 23.6, 17.0]","[18.0, 16.1, 14.0]","[90.0, 66.4, 36.0]","[15.0, 5.4, 0.0]", 0.00 
 14 ,"[32.0, 24.9, 18.0]","[21.0, 18.1, 16.0]","[94.0, 70.6, 37.0]","[11.0, 3.9, 0.0]", 0.00 
 15 ,"[33.0, 27.1, 19.0]","[21.0, 18.9, 16.0]","[92.0, 64.0, 35.0]","[13.0, 3.8, 0.0]", 0.00 
 16 ,"[34.0, 27.6, 23.0]","[21.0, 18.6, 15.0]","[88.0, 61.0, 31.0]","[24.0, 10.6, 0.0]", 0.00 
 17 ,"[34.0, 27.8, 21.0]","[23.0, 20.1, 18.0]","[88.0, 66.9, 38.0]","[7.0, 3.5, 0.0]", 0.00 
 18 ,"[34.0, 27.5, 22.0]","[22.0, 20.8, 20.0]","[91.0, 68.9, 44.0]","[15.0, 5.5, 0.0]", 0.00 
 19 ,"[36.0, 28.1, 20.0]","[23.0, 20.9, 19.0]","[95.0, 68.0, 39.0]","[11.0, 3.4, 0.0]", 0.00 
 20 ,"[37.0, 28.3, 22.0]","[22.0, 16.8, 11.0]","[91.0, 57.4, 20.0]","[11.0, 4.1, 0.0]", 0.00 
 21 ,"[36.0, 27.9, 21.0]","[22.0, 18.6, 13.0]","[86.0, 61.0, 28.0]","[11.0, 5.3, 0.0]", 0.00 
 22 ,"[34.0, 27.6, 23.0]","[18.0, 15.8, 11.0]","[73.0, 52.1, 24.0]","[17.0, 8.9, 0.0]", 0.00 
 23 ,"[35.0, 27.3, 19.0]","[18.0, 15.8, 11.0]","[83.0, 52.9, 24.0]","[11.0, 4.9, 0.0]", 0.00 
 24 ,"[35.0, 26.9, 22.0]","[19.0, 15.0, 9.0]","[80.0, 54.9, 21.0]","[20.0, 5.3, 0.0]", 0.00 
 25 ,"[34.0, 26.4, 20.0]","[18.0, 15.6, 11.0]","[89.0, 57.1, 23.0]","[15.0, 9.3, 4.0]", 0.00 
 26 ,"[34.0, 27.4, 20.0]","[17.0, 13.0, 9.0]","[83.0, 46.5, 22.0]","[22.0, 12.8, 6.0]", 0.00 
 27 ,"[36.0, 28.1, 21.0]","[17.0, 13.6, 9.0]","[68.0, 44.9, 21.0]","[15.0, 6.5, 0.0]", 0.00 
 28 ,"[38.0, 28.5, 21.0]","[17.0, 14.1, 8.0]","[77.0, 48.5, 16.0]","[15.0, 4.6, 0.0]", 0.00 
 29 ,"[38.0, 28.1, 19.0]","[17.0, 13.3, 7.0]","[79.0, 47.1, 14.0]","[13.0, 4.5, 0.0]", 0.00 
 30 ,"[38.0, 28.5, 20.0]","[18.0, 15.6, 9.0]","[78.0, 52.1, 17.0]","[11.0, 3.0, 0.0]", 0.00 
 31 ,"[38.0, 30.3, 21.0]","[19.0, 16.7, 14.0]","[80.0, 49.0, 28.0]","[15.0, 5.0, 0.0]", 0.00 
