Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 May ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[39.0, 33.0, 28.0]","[23.0, 19.0, 13.0]","[62.0, 44.3, 35.0]","[11.0, 8.4, 6.0]", 0.00 
 2 ,"[39.0, 33.4, 28.0]","[22.0, 21.5, 19.0]","[68.0, 51.4, 31.0]","[11.0, 8.9, 6.0]", 0.00 
 3 ,"[37.0, 32.9, 29.0]","[23.0, 22.3, 20.0]","[68.0, 54.6, 37.0]","[7.0, 6.0, 4.0]", 0.00 
 4 ,"[37.0, 29.8, 23.0]","[24.0, 20.9, 18.0]","[78.0, 59.4, 37.0]","[15.0, 10.5, 7.0]", 0.00 
 5 ,"[36.0, 29.6, 23.0]","[22.0, 20.3, 19.0]","[81.0, 59.8, 38.0]","[9.0, 4.8, 0.0]", 1.00 
 6 ,"[38.0, 31.9, 25.0]","[22.0, 19.5, 17.0]","[80.0, 49.5, 36.0]","[19.0, 4.0, 0.0]", 0.00 
 7 ,"[39.0, 31.8, 27.0]","[21.0, 19.8, 17.0]","[70.0, 52.1, 28.0]","[11.0, 3.3, 0.0]", 0.00 
 8 ,"[39.0, 34.3, 29.0]","[23.0, 21.3, 20.0]","[61.0, 48.0, 32.0]","[11.0, 8.2, 6.0]", 0.00 
 9 ,"[39.0, 33.3, 28.0]","[23.0, 22.1, 22.0]","[69.0, 52.8, 36.0]","[17.0, 8.0, 0.0]", 0.00 
 10 ,"[39.0, 33.8, 29.0]","[24.0, 22.6, 22.0]","[63.0, 52.9, 37.0]","[11.0, 7.9, 0.0]", 0.00 
 11 ,"[40.0, 34.4, 29.0]","[24.0, 23.1, 22.0]","[67.0, 53.3, 39.0]","[7.0, 6.5, 4.0]", 0.00 
 12 ,"[41.0, 35.9, 30.0]","[24.0, 22.7, 21.0]","[69.0, 48.6, 31.0]","[11.0, 7.9, 6.0]", 0.00 
 13 ,"[41.0, 33.4, 25.0]","[25.0, 22.9, 20.0]","[98.0, 58.4, 29.0]","[9.0, 5.3, 0.0]", 0.00 
 14 ,"[43.0, 37.0, 25.0]","[26.0, 17.3, 11.0]","[62.0, 24.7, 0.0]","[19.0, 5.9, 0.0]", 0.00 
 15 ,"[45.0, 35.9, 27.0]","[22.0, 17.0, 10.0]","[58.0, 36.9, 12.0]","[20.0, 6.1, 0.0]", 0.00 
 16 ,"[41.0, 36.7, 31.0]","[19.0, 12.7, 8.0]","[51.0, 26.1, 15.0]","[19.0, 13.3, 0.0]", 0.00 
 17 ,"[40.0, 34.8, 28.0]","[21.0, 19.2, 17.0]","[57.0, 41.5, 26.0]","[9.0, 7.3, 7.0]", 0.00 
 18 ,"[39.0, 34.8, 30.0]","[21.0, 17.6, 12.0]","[49.0, 37.0, 26.0]","[15.0, 8.9, 6.0]", 0.00 
 19 ,"[42.0, 35.1, 28.0]","[23.0, 20.5, 15.0]","[65.0, 45.4, 21.0]","[13.0, 3.9, 0.0]", 0.00 
 20 ,"[44.0, 36.5, 29.0]","[24.0, 17.6, 12.0]","[71.0, 38.1, 15.0]","[11.0, 7.5, 0.0]", 0.00 
 21 ,"[42.0, 33.4, 25.0]","[20.0, 16.1, 12.0]","[75.0, 40.3, 20.0]","[28.0, 11.8, 6.0]", 0.80 
 22 ,"[38.0, 32.4, 24.0]","[20.0, 18.4, 16.0]","[77.0, 45.4, 30.0]","[15.0, 7.9, 0.0]", 0.80 
 23 ,"[30.0, 24.1, 18.0]","[21.0, 19.4, 17.0]","[98.0, 77.3, 53.0]","[26.0, 15.0, 9.0]", 12.00 
 24 ,"[31.0, 26.5, 19.0]","[22.0, 20.9, 18.0]","[94.0, 72.4, 55.0]","[9.0, 5.6, 0.0]", 15.00 
 25 ,"[33.0, 28.3, 24.0]","[23.0, 21.5, 19.0]","[91.0, 67.5, 44.0]","[9.0, 4.1, 0.0]", 0.00 
 26 ,"[36.0, 30.6, 23.0]","[22.0, 21.1, 18.0]","[90.0, 58.6, 36.0]","[7.0, 3.3, 0.0]", 0.00 
 27 ,"[38.0, 31.6, 26.0]","[23.0, 19.9, 17.0]","[78.0, 52.0, 34.0]","[22.0, 9.1, 0.0]", 0.00 
 28 ,"[39.0, 34.6, 28.0]","[25.0, 22.3, 19.0]","[64.0, 49.5, 36.0]","[7.0, 6.5, 6.0]", 0.00 
 29 ,"[40.0, 33.3, 29.0]","[26.0, 21.3, 19.0]","[65.0, 50.6, 31.0]","[15.0, 8.9, 4.0]", 0.00 
 30 ,"[39.0, 28.5, 23.0]","[24.0, 23.0, 22.0]","[100.0, 75.8, 39.0]","[15.0, 6.3, 0.0]", 0.00 
 31 ,"[38.0, 33.1, 26.0]","[24.0, 22.3, 20.0]","[83.0, 55.6, 34.0]","[7.0, 3.0, 0.0]", 18.00 
