Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Jun ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[41.0, 34.4, 26.0]","[24.0, 17.9, 14.0]","[89.0, 41.4, 21.0]","[11.0, 5.8, 0.0]", 0.00 
 2 ,"[41.0, 34.4, 28.0]","[22.0, 19.3, 16.0]","[61.0, 43.0, 23.0]","[7.0, 3.0, 0.0]", 0.00 
 3 ,"[42.0, 35.4, 26.0]","[21.0, 15.3, 7.0]","[65.0, 34.6, 12.0]","[15.0, 5.4, 0.0]", 0.00 
 4 ,"[43.0, 35.0, 29.0]","[21.0, 15.6, 8.0]","[60.0, 36.8, 12.0]","[17.0, 4.9, 0.0]", 0.00 
 5 ,"[43.0, 36.0, 30.0]","[21.0, 14.4, 10.0]","[58.0, 30.6, 14.0]","[19.0, 8.4, 0.0]", 0.00 
 6 ,"[43.0, 35.0, 28.0]","[21.0, 16.1, 11.0]","[67.0, 37.0, 16.0]","[15.0, 5.1, 0.0]", 0.00 
 7 ,"[43.0, 37.0, 31.0]","[17.0, 14.1, 11.0]","[38.0, 27.0, 16.0]","[24.0, 14.0, 7.0]", 0.00 
 8 ,"[43.0, 35.5, 29.0]","[22.0, 15.0, 10.0]","[59.0, 32.8, 14.0]","[24.0, 13.3, 0.0]", 0.00 
 9 ,"[42.0, 36.5, 29.0]","[22.0, 16.8, 14.0]","[51.0, 32.0, 19.0]","[15.0, 6.9, 0.0]", 0.00 
 10 ,"[43.0, 36.0, 31.0]","[19.0, 16.4, 12.0]","[41.0, 33.1, 16.0]","[26.0, 12.9, 6.0]", 0.00 
 11 ,"[43.0, 37.3, 31.0]","[18.0, 14.8, 11.0]","[33.0, 26.6, 15.0]","[24.0, 12.3, 0.0]", 0.00 
 12 ,"[43.0, 37.4, 33.0]","[21.0, 15.9, 13.0]","[41.0, 29.0, 19.0]","[22.0, 12.3, 0.0]", 0.00 
 13 ,"[42.0, 37.0, 33.0]","[19.0, 17.9, 16.0]","[42.0, 33.1, 21.0]","[17.0, 13.5, 7.0]", 0.00 
 14 ,"[39.0, 34.6, 32.0]","[21.0, 19.9, 18.0]","[48.0, 41.5, 34.0]","[26.0, 17.4, 11.0]", 0.00 
 15 ,"[42.0, 36.4, 31.0]","[22.0, 20.3, 19.0]","[53.0, 39.8, 27.0]","[22.0, 16.1, 7.0]", 0.00 
 16 ,"[38.0, 32.6, 27.0]","[24.0, 21.9, 21.0]","[84.0, 54.5, 36.0]","[15.0, 9.0, 6.0]", 2.00 
 17 ,"[32.0, 27.4, 25.0]","[26.0, 23.5, 22.0]","[96.0, 80.3, 57.0]","[15.0, 10.8, 7.0]", 7.00 
 18 ,"[32.0, 28.5, 26.0]","[24.0, 24.0, 24.0]","[92.0, 76.9, 62.0]","[15.0, 8.5, 6.0]", 13.00 
 19 ,"[30.0, 27.4, 24.0]","[24.0, 22.8, 22.0]","[96.0, 75.3, 65.0]","[11.0, 4.5, 0.0]", 1.00 
 20 ,"[32.0, 29.0, 25.0]","[25.0, 22.3, 20.0]","[80.0, 67.8, 49.0]","[15.0, 6.9, 0.0]", 0.00 
 21 ,"[33.0, 29.1, 26.0]","[24.0, 23.0, 22.0]","[84.0, 70.6, 54.0]","[11.0, 6.9, 6.0]", 0.00 
 22 ,"[36.0, 30.3, 26.0]","[26.0, 23.6, 21.0]","[81.0, 67.5, 56.0]","[15.0, 5.3, 0.0]", 0.70 
 23 ,"[37.0, 32.6, 26.0]","[24.0, 22.6, 21.0]","[82.0, 57.3, 40.0]","[15.0, 6.1, 0.0]", 0.00 
 24 ,"[38.0, 33.0, 28.0]","[23.0, 21.3, 20.0]","[67.0, 50.9, 40.0]","[9.0, 5.1, 0.0]", 0.00 
 25 ,"[39.0, 33.0, 26.0]","[24.0, 21.8, 21.0]","[73.0, 52.5, 35.0]","[11.0, 4.3, 0.0]", 0.00 
 26 ,"[40.0, 34.4, 29.0]","[26.0, 25.8, 25.0]","[77.0, 61.1, 44.0]","[15.0, 8.0, 4.0]", 0.00 
 27 ,"[40.0, 35.9, 31.0]","[28.0, 26.1, 25.0]","[72.0, 57.4, 45.0]","[11.0, 7.5, 0.0]", 0.00 
 28 ,"[40.0, 35.4, 31.0]","[28.0, 26.5, 25.0]","[73.0, 60.8, 44.0]","[11.0, 6.6, 0.0]", 0.00 
 29 ,"[40.0, 34.6, 30.0]","[27.0, 25.3, 23.0]","[78.0, 60.3, 41.0]","[15.0, 9.6, 4.0]", 0.00 
 30 ,"[29.0, 26.6, 24.0]","[26.0, 24.9, 24.0]","[100.0, 89.7, 79.0]","[15.0, 7.6, 0.0]", 0.00 
