Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Jul ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[31.0, 28.0, 26.0]","[27.0, 25.9, 25.0]","[98.0, 87.4, 79.0]","[9.0, 3.5, 0.0]", 117.00 
 2 ,"[33.0, 30.7, 27.0]","[27.0, 26.0, 25.0]","[92.0, 75.9, 63.0]","[15.0, 8.3, 6.0]", 2.00 
 3 ,"[35.0, 31.0, 27.0]","[27.0, 25.8, 24.0]","[83.0, 73.4, 62.0]","[11.0, 6.6, 0.0]", 0.00 
 4 ,"[35.0, 32.3, 28.0]","[28.0, 27.0, 26.0]","[89.0, 73.8, 62.0]","[11.0, 4.3, 0.0]", 0.10 
 5 ,"[37.0, 33.5, 30.0]","[28.0, 26.9, 26.0]","[88.0, 68.6, 54.0]","[9.0, 4.9, 0.0]", 0.60 
 6 ,"[38.0, 34.0, 30.0]","[28.0, 27.0, 26.0]","[82.0, 67.4, 52.0]","[13.0, 9.1, 6.0]", 0.00 
 7 ,"[37.0, 34.1, 31.0]","[28.0, 26.6, 26.0]","[82.0, 64.9, 51.0]","[11.0, 8.4, 4.0]", 0.00 
 8 ,"[38.0, 34.5, 31.0]","[26.0, 25.8, 25.0]","[74.0, 61.3, 49.0]","[15.0, 6.8, 0.0]", 0.00 
 9 ,"[34.0, 30.8, 28.0]","[27.0, 25.4, 24.0]","[85.0, 73.4, 65.0]","[15.0, 8.9, 0.0]", 0.00 
 10 ,"[33.0, 30.4, 28.0]","[27.0, 26.1, 26.0]","[89.0, 76.4, 66.0]","[13.0, 6.0, 0.0]", 0.00 
 11 ,"[35.0, 31.5, 28.0]","[26.0, 25.5, 24.0]","[88.0, 71.6, 57.0]","[17.0, 4.4, 0.0]", 0.00 
 12 ,"[32.0, 29.3, 28.0]","[27.0, 26.5, 26.0]","[94.0, 84.9, 66.0]","[15.0, 4.6, 0.0]", 2.00 
 13 ,"[36.0, 31.4, 28.0]","[27.0, 26.6, 26.0]","[95.0, 76.5, 58.0]","[9.0, 4.3, 0.0]", 2.00 
 14 ,"[37.0, 31.9, 28.0]","[30.0, 26.5, 25.0]","[83.0, 73.0, 65.0]","[11.0, 7.0, 0.0]", 0.00 
 15 ,"[37.0, 32.9, 28.0]","[26.0, 25.5, 25.0]","[83.0, 65.1, 51.0]","[11.0, 9.3, 7.0]", 0.00 
 16 ,"[35.0, 28.0, 25.0]","[27.0, 25.8, 25.0]","[100.0, 87.9, 61.0]","[15.0, 5.0, 0.0]", 0.00 
 17 ,"[34.0, 30.3, 26.0]","[28.0, 27.0, 25.0]","[98.0, 84.0, 71.0]","[9.0, 4.5, 0.0]", 30.00 
 18 ,"[37.0, 33.1, 28.0]","[31.0, 28.6, 27.0]","[89.0, 77.4, 65.0]","[7.0, 3.6, 0.0]", 1.00 
 19 ,"[36.0, 31.4, 29.0]","[28.0, 27.5, 26.0]","[94.0, 80.8, 57.0]","[15.0, 6.3, 0.0]", 0.00 
 20 ,"[33.0, 27.6, 25.0]","[28.0, 26.3, 25.0]","[100.0, 91.9, 68.0]","[15.0, 5.9, 0.0]", 10.00 
 21 ,"[32.0, 29.4, 26.0]","[26.0, 25.6, 25.0]","[98.0, 81.6, 68.0]","[6.0, 2.3, 0.0]", 57.00 
 22 ,"[33.0, 29.0, 27.0]","[28.0, 27.1, 26.0]","[100.0, 90.0, 68.0]","[17.0, 4.9, 0.0]", 0.30 
 23 ,"[33.0, 29.9, 27.0]","[28.0, 26.5, 26.0]","[97.0, 82.9, 69.0]","[11.0, 8.8, 6.0]", 9.00 
 24 ,"[34.0, 30.3, 28.0]","[26.0, 26.0, 26.0]","[89.0, 78.1, 61.0]","[15.0, 6.8, 0.0]", 0.00 
 25 ,"[34.0, 30.4, 28.0]","[27.0, 26.0, 25.0]","[92.0, 77.4, 62.0]","[19.0, 9.3, 0.0]", 0.00 
 26 ,"[33.0, 29.8, 27.0]","[26.0, 26.0, 26.0]","[94.0, 78.8, 68.0]","[15.0, 8.5, 4.0]", 2.00 
 27 ,"[33.0, 30.0, 28.0]","[26.0, 26.0, 26.0]","[92.0, 79.0, 65.0]","[7.0, 6.1, 4.0]", 0.00 
 28 ,"[31.0, 27.8, 26.0]","[27.0, 25.9, 25.0]","[95.0, 90.0, 80.0]","[7.0, 3.9, 0.0]", 0.00 
 29 ,"[32.0, 27.6, 26.0]","[26.0, 25.4, 24.0]","[95.0, 88.6, 73.0]","[11.0, 5.9, 0.0]", 20.00 
 30 ,"[31.0, 27.9, 26.0]","[26.0, 25.5, 24.0]","[100.0, 87.5, 71.0]","[15.0, 4.5, 0.0]", 20.00 
 31 ,"[31.0, 28.9, 26.0]","[27.0, 25.7, 24.0]","[96.0, 83.7, 70.0]","[11.0, 3.6, 0.0]", 13.00 
