Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Aug ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[33.0, 29.6, 27.0]","[26.0, 25.6, 25.0]","[95.0, 79.1, 64.0]","[11.0, 8.1, 0.0]", 1.00 
 2 ,"[34.0, 31.3, 27.0]","[27.0, 25.9, 25.0]","[95.0, 72.8, 56.0]","[11.0, 4.6, 0.0]", 0.00 
 3 ,"[33.0, 30.5, 28.0]","[27.0, 26.1, 26.0]","[86.0, 78.1, 68.0]","[7.0, 3.5, 0.0]", 0.00 
 4 ,"[34.0, 29.6, 27.0]","[27.0, 26.3, 26.0]","[90.0, 82.5, 65.0]","[11.0, 5.3, 0.0]", 7.00 
 5 ,"[30.0, 28.0, 27.0]","[27.0, 26.8, 26.0]","[95.0, 92.0, 86.0]","[7.0, 3.1, 0.0]", 0.80 
 6 ,"[33.0, 30.3, 27.0]","[27.0, 26.6, 26.0]","[97.0, 80.9, 68.0]","[9.0, 3.5, 0.0]", 9.00 
 7 ,"[28.0, 27.0, 26.0]","[27.0, 26.1, 25.0]","[100.0, 92.5, 86.0]","[11.0, 4.6, 0.0]", 0.00 
 8 ,"[34.0, 30.5, 26.0]","[27.0, 26.1, 25.0]","[94.0, 76.8, 61.0]","[9.0, 2.5, 0.0]", 0.00 
 9 ,"[36.0, 32.4, 28.0]","[27.0, 26.9, 26.0]","[89.0, 72.6, 57.0]","[13.0, 4.6, 0.0]", 0.00 
 10 ,"[36.0, 32.6, 29.0]","[26.0, 25.9, 25.0]","[85.0, 70.1, 54.0]","[13.0, 8.1, 6.0]", 0.00 
 11 ,"[31.0, 29.0, 27.0]","[26.0, 24.5, 24.0]","[84.0, 78.1, 66.0]","[15.0, 9.4, 0.0]", 0.00 
 12 ,"[36.0, 31.9, 27.0]","[26.0, 24.9, 24.0]","[87.0, 68.0, 49.0]","[15.0, 8.8, 0.0]", 0.00 
 13 ,"[34.0, 31.0, 28.0]","[27.0, 26.1, 25.0]","[83.0, 73.9, 62.0]","[11.0, 6.3, 0.0]", 0.00 
 14 ,"[32.0, 28.5, 27.0]","[27.0, 25.9, 24.0]","[95.0, 85.5, 69.0]","[9.0, 7.4, 4.0]", 0.00 
 15 ,"[33.0, 29.8, 27.0]","[27.0, 25.8, 25.0]","[92.0, 79.1, 68.0]","[15.0, 8.4, 0.0]", 5.00 
 16 ,"[33.0, 28.8, 27.0]","[26.0, 24.9, 24.0]","[92.0, 81.1, 63.0]","[19.0, 13.3, 11.0]", 0.00 
 17 ,"[33.0, 29.6, 26.0]","[26.0, 25.1, 24.0]","[92.0, 77.9, 59.0]","[19.0, 11.0, 7.0]", 2.00 
 18 ,"[34.0, 31.1, 27.0]","[29.0, 27.0, 25.0]","[89.0, 78.6, 69.0]","[13.0, 7.9, 0.0]", 0.00 
 19 ,"[34.0, 31.3, 28.0]","[28.0, 26.3, 25.0]","[88.0, 75.8, 58.0]","[17.0, 9.0, 0.0]", 0.00 
 20 ,"[31.0, 29.6, 28.0]","[27.0, 26.1, 25.0]","[90.0, 80.5, 68.0]","[7.0, 5.0, 0.0]", 0.00 
 21 ,"[34.0, 30.9, 28.0]","[27.0, 26.3, 26.0]","[92.0, 76.6, 61.0]","[7.0, 3.3, 0.0]", 7.00 
 22 ,"[36.0, 31.8, 28.0]","[28.0, 26.9, 26.0]","[88.0, 75.8, 56.0]","[15.0, 9.9, 4.0]", 0.00 
 23 ,"[33.0, 30.4, 28.0]","[28.0, 26.4, 24.0]","[95.0, 79.1, 58.0]","[19.0, 12.3, 7.0]", 0.00 
 24 ,"[32.0, 29.3, 27.0]","[27.0, 25.9, 24.0]","[95.0, 82.3, 64.0]","[11.0, 8.3, 4.0]", 0.00 
 25 ,"[33.0, 29.8, 26.0]","[26.0, 24.9, 24.0]","[90.0, 76.8, 62.0]","[7.0, 3.4, 0.0]", 6.00 
 26 ,"[34.0, 31.0, 27.0]","[26.0, 25.1, 24.0]","[87.0, 71.0, 58.0]","[11.0, 6.3, 0.0]", 0.00 
 27 ,"[34.0, 30.6, 28.0]","[26.0, 24.5, 22.0]","[82.0, 69.9, 57.0]","[17.0, 11.6, 6.0]", 0.00 
 28 ,"[34.0, 30.6, 27.0]","[25.0, 23.5, 22.0]","[84.0, 67.0, 53.0]","[19.0, 8.1, 0.0]", 0.20 
 29 ,"[35.0, 29.5, 26.0]","[26.0, 24.1, 23.0]","[92.0, 74.8, 53.0]","[9.0, 5.1, 0.0]", 0.00 
 30 ,"[34.0, 30.3, 28.0]","[26.0, 25.9, 25.0]","[92.0, 76.8, 61.0]","[11.0, 2.9, 0.0]", 1.00 
 31 ,"[37.0, 32.1, 27.0]","[26.0, 24.3, 24.0]","[84.0, 65.3, 48.0]","[11.0, 6.9, 0.0]", 0.20 
