Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Sep ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[36.0, 32.0, 28.0]","[26.0, 24.0, 23.0]","[86.0, 64.1, 47.0]","[11.0, 5.6, 0.0]", 0.00 
 2 ,"[34.0, 30.3, 28.0]","[27.0, 26.2, 25.0]","[97.0, 79.2, 63.0]","[9.0, 4.5, 0.0]", 0.00 
 3 ,"[36.0, 32.0, 28.0]","[25.0, 22.8, 14.0]","[80.0, 59.4, 40.0]","[17.0, 10.0, 0.0]", 9.00 
 4 ,"[36.0, 32.0, 28.0]","[25.0, 23.6, 22.0]","[82.0, 62.5, 45.0]","[17.0, 7.4, 0.0]", 0.00 
 5 ,"[36.0, 31.4, 28.0]","[25.0, 23.3, 22.0]","[79.0, 63.1, 42.0]","[15.0, 6.5, 0.0]", 0.00 
 6 ,"[35.0, 31.1, 28.0]","[24.0, 23.5, 23.0]","[78.0, 64.9, 48.0]","[11.0, 6.3, 0.0]", 0.00 
 7 ,"[36.0, 31.9, 27.0]","[24.0, 23.5, 22.0]","[86.0, 62.1, 45.0]","[7.0, 2.5, 0.0]", 0.00 
 8 ,"[36.0, 31.9, 28.0]","[26.0, 24.4, 23.0]","[78.0, 65.5, 49.0]","[9.0, 3.3, 0.0]", 0.00 
 9 ,"[36.0, 31.9, 27.0]","[26.0, 25.1, 24.0]","[84.0, 68.0, 49.0]","[7.0, 5.4, 0.0]", 0.00 
 10 ,"[36.0, 31.6, 29.0]","[27.0, 26.3, 26.0]","[86.0, 74.3, 58.0]","[11.0, 7.9, 4.0]", 0.00 
 11 ,"[36.0, 32.1, 28.0]","[27.0, 25.6, 24.0]","[86.0, 69.0, 52.0]","[11.0, 6.6, 0.0]", 0.00 
 12 ,"[37.0, 31.4, 26.0]","[26.0, 24.6, 24.0]","[98.0, 69.4, 50.0]","[13.0, 7.3, 4.0]", 0.00 
 13 ,"[34.0, 30.0, 26.0]","[26.0, 24.5, 24.0]","[98.0, 74.8, 57.0]","[17.0, 9.5, 7.0]", 9.00 
 14 ,"[32.0, 28.1, 26.0]","[26.0, 24.9, 24.0]","[96.0, 83.3, 65.0]","[15.0, 9.3, 0.0]", 0.00 
 15 ,"[30.0, 26.4, 24.0]","[27.0, 24.8, 24.0]","[96.0, 90.8, 82.0]","[15.0, 8.9, 0.0]", 13.00 
 16 ,"[25.0, 24.6, 24.0]","[25.0, 24.5, 24.0]","[100.0, 98.9, 95.0]","[17.0, 4.9, 0.0]", 4.00 
 17 ,"[33.0, 28.6, 24.0]","[26.0, 24.8, 24.0]","[100.0, 81.0, 64.0]","[11.0, 4.8, 0.0]", 11.00 
 18 ,"[33.0, 29.0, 25.0]","[26.0, 24.4, 23.0]","[96.0, 78.1, 56.0]","[7.0, 2.3, 0.0]", 0.00 
 19 ,"[33.0, 28.4, 26.0]","[26.0, 25.1, 24.0]","[95.0, 83.4, 69.0]","[6.0, 2.3, 0.0]", 0.00 
 20 ,"[33.0, 28.4, 26.0]","[26.0, 25.0, 24.0]","[94.0, 82.9, 61.0]","[7.0, 4.1, 0.0]", 7.00 
 21 ,"[32.0, 26.8, 24.0]","[26.0, 24.4, 23.0]","[98.0, 88.9, 69.0]","[6.0, 3.5, 0.0]", 0.20 
 22 ,"[28.0, 25.3, 24.0]","[25.0, 24.8, 24.0]","[100.0, 97.0, 87.0]","[15.0, 6.0, 0.0]", 6.00 
 23 ,"[27.0, 24.6, 24.0]","[26.0, 24.5, 24.0]","[100.0, 98.9, 95.0]","[7.0, 4.3, 0.0]", 72.00 
 24 ,"[26.0, 25.0, 24.0]","[26.0, 24.8, 24.0]","[100.0, 99.0, 98.0]","[13.0, 8.5, 4.0]", 15.00 
 25 ,"[30.0, 27.1, 24.0]","[25.0, 24.3, 23.0]","[98.0, 83.8, 66.0]","[11.0, 5.6, 0.0]", 19.00 
 26 ,"[32.0, 27.6, 24.0]","[25.0, 24.3, 24.0]","[98.0, 84.6, 62.0]","[7.0, 2.5, 0.0]", 0.00 
 27 ,"[33.0, 28.8, 24.0]","[24.0, 23.8, 23.0]","[96.0, 76.5, 55.0]","[11.0, 4.0, 0.0]", 0.00 
 28 ,"[33.0, 29.1, 26.0]","[24.0, 23.6, 23.0]","[89.0, 73.1, 53.0]","[9.0, 3.8, 0.0]", 0.00 
 29 ,"[33.0, 28.3, 24.0]","[24.0, 23.0, 22.0]","[93.0, 74.5, 51.0]","[11.0, 3.6, 0.0]", 0.00 
 30 ,"[33.0, 28.7, 24.0]","[25.0, 23.7, 23.0]","[93.0, 77.0, 55.0]","[11.0, 4.4, 0.0]", 0.00 
